frequency	grapheme
0.0106481481	cʼ
0.0106481481	b̰
0.0101851852	a̰
0.0101851852	j̥
0.0101851852	ɣʷ
0.0101851852	nʷ
0.0097222222	sʲ
0.0097222222	d̠ʒː
0.0097222222	øː
0.0097222222	yː
0.0097222222	t̠
0.0097222222	bv
0.0092592593	qʷʼ
0.0092592593	ʔʷ
0.0092592593	ḭ
0.0092592593	zː
0.0092592593	fʲ
0.0092592593	m̤
0.0092592593	o̤
0.0092592593	ua
0.0092592593	ʔʲ
0.0092592593	ns
0.0087962963	ʈʂʰ
0.0087962963	ɡ̤
0.0087962963	ə̃ː
0.0087962963	ɠ
0.0087962963	n̠t̠ʃ
0.0087962963	ɗ̪
0.0087962963	dʷ
0.0087962963	lʷ
0.0087962963	oi
0.0087962963	ei
0.0083333333	ṵ
0.0083333333	o̰
0.0083333333	ḛ
0.0083333333	w̃
0.0083333333	d̠ʒʷ
0.0083333333	ɾʲ
0.0083333333	ɱ
0.0083333333	ɲʷ
0.0083333333	e̤
0.0083333333	i̤
0.0078703704	l̤
0.0078703704	n̰
0.0078703704	ʔː
0.0078703704	ʌ̃
0.0078703704	ʌː
0.0078703704	ṳ
0.0078703704	a̤
0.0074074074	˦˧
0.0074074074	uə
0.0069444444	˥˦
0.0069444444	t̪ː
0.0069444444	d̤
0.0069444444	m̩
0.0069444444	ɲ̟
0.0069444444	ou
0.0069444444	ɔ̤
0.0069444444	t̪ʲ
0.0069444444	zʷ
0.0064814815	s̻
0.0064814815	ʁʷ
0.0064814815	mbʷ
0.0064814815	tɬ
0.0064814815	sʼ
0.0064814815	ɵ
0.0064814815	ɟː
0.0064814815	kǃ
0.0064814815	vʲ
0.0064814815	l̰
0.0064814815	jʷ
0.0060185185	d̠ʒ̤
0.0060185185	ʈː
0.0060185185	kʼː
0.0060185185	rʲ
0.0060185185	l̠
0.0060185185	ɔi
0.0060185185	ʑ
0.0060185185	dʑ
0.0060185185	k̰
0.0060185185	p̰
0.0060185185	bʰ
0.0060185185	kʼʲ
0.0060185185	ɗː
0.0060185185	u̞
0.0055555556	a̟ː
0.0055555556	r̥
0.0055555556	n̩
0.0055555556	ie
0.0055555556	ʀ
0.0055555556	t̠ʃʼː
0.0055555556	kǀ
0.0055555556	ʏ
0.0055555556	t̪ɬ̪ʼ
0.0055555556	ɛ̤
0.0055555556	ɱf
0.0055555556	t̰
0.0050925926	lˠ
0.0050925926	ə̆
0.0050925926	ˀm
0.0050925926	ˀj
0.0050925926	hː
0.0050925926	tʼː
0.0050925926	ʒː
0.0050925926	ɓ̥
0.0050925926	ɑ̃ː
0.0050925926	n̪̥
0.0050925926	iə
0.0050925926	l̪̥
0.0050925926	d̰
0.0050925926	rʷ
0.0050925926	ɓː
0.0046296296	ɵ̞
0.0046296296	d̪ː
0.0046296296	ɒː
0.0046296296	ˀn
0.0046296296	ɯ̞
0.0046296296	ŋ̩
0.0046296296	xː
0.0046296296	tɬʰ
0.0046296296	ʈʂʼ
0.0046296296	ɤ̞
0.0046296296	j̃
0.0046296296	œː
0.0046296296	l̪ˠ
0.0046296296	ɽ̤
0.0046296296	*R
0.0046296296	n̪̰
0.0046296296	↓˦
0.0046296296	tsʷ
0.0046296296	r̃
0.0046296296	N
0.0041666667	ɤː
0.0041666667	ɢʷ
0.0041666667	qʷʰ
0.0041666667	ʃʼ
0.0041666667	ɖʐ
0.0041666667	˩˨
0.0041666667	ˀw
0.0041666667	˦˥
0.0041666667	˧˩
0.0041666667	qː
0.0041666667	jˀ
0.0041666667	ndʲ
0.0041666667	ʃʲ
0.0041666667	ᶑ
0.0041666667	βʲ
0.0041666667	ʉː
0.0041666667	t̠ʃʲ
0.0041666667	ɨ̃ː
0.0041666667	n̪̤
0.0041666667	n̤
0.0041666667	ʒʷ
0.0041666667	s̪ʲ
0.0041666667	l̪ʲ
0.0041666667	iu
0.0041666667	vʷ
0.0041666667	cː
0.0041666667	dʰ
0.0037037037	ʐ͇
0.0037037037	ɖː
0.0037037037	uo
0.0037037037	nts
0.0037037037	pʼː
0.0037037037	ã̟
0.0037037037	ɐː
0.0037037037	pʲʰ
0.0037037037	kǁ
0.0037037037	ɒ̃
0.0037037037	zʲ
0.0037037037	tsʲ
0.0037037037	ie̞
0.0037037037	d̪ʲ
0.0037037037	t̪ɬ̪
0.0037037037	ŋkʷ
0.0037037037	əi
0.0037037037	ɺ̠
0.0037037037	s̪ʼ
0.0037037037	ŋǃ
0.0037037037	kǃʰ
0.0037037037	ŋɡʲ
0.0032407407	kˀ
0.0032407407	sˀ
0.0032407407	qχ
0.0032407407	ˀb
0.0032407407	sʰ
0.0032407407	˧˦
0.0032407407	ĭ
0.0032407407	χː
0.0032407407	sˤ
0.0032407407	kʲʼ
0.0032407407	ɗ̥
0.0032407407	ɤ̃
0.0032407407	ᴅ
0.0032407407	cɕ
0.0032407407	e̞i
0.0032407407	l̪̰
0.0032407407	ɯa
0.0032407407	ndʷ
0.0032407407	kǀʰ
0.0032407407	q̰
0.0032407407	t̠ʃ̰
0.0032407407	d̪ʰ
0.0032407407	cʷ
0.0032407407	wʲ
0.0032407407	i̤ː
0.0032407407	ã̰
0.0027777778	pˀ
0.0027777778	t̠ʃʷʰ
0.0027777778	n̻
0.0027777778	s̪ː
0.0027777778	tsː
0.0027777778	ˀl
0.0027777778	ɔ̰
0.0027777778	nˀ
0.0027777778	mˀ
0.0027777778	ŭ
0.0027777778	ă
0.0027777778	ŋʲ
0.0027777778	kʲʰ
0.0027777778	t̻
0.0027777778	c̟
0.0027777778	æ̃ː
0.0027777778	wˀ
0.0027777778	ɸʲ
0.0027777778	zˤ
0.0027777778	lˤ
0.0027777778	tˤ
0.0027777778	dˤ
0.0027777778	d̠ʒʲ
0.0027777778	vː
0.0027777778	n̪t̪
0.0027777778	ɯ̤
0.0027777778	d̠
0.0027777778	ɯə
0.0027777778	l̃
0.0027777778	əu
0.0027777778	o̞i
0.0027777778	ɨi
0.0027777778	n̪ʲ
0.0027777778	ɡǃ
0.0027777778	tr
0.0027777778	dr
0.0027777778	ɡǀ
0.0027777778	ts̰
0.0027777778	mʰ
0.0027777778	nʰ
0.0027777778	ea
0.0027777778	tɕʰ
0.0027777778	ṳː
0.0027777778	a̤ː
0.0027777778	ɛ̤ː
0.0027777778	ɔ̤ː
0.0027777778	ḭ̃
0.0027777778	r̤
0.0027777778	iˑ
0.0027777778	aˑ
0.0027777778	uˑ
0.0027777778	oˑ
0.0023148148	t̠ʃˀ
0.0023148148	t̠ʃʷʼ
0.0023148148	e̞ˤ
0.0023148148	t̻s̻
0.0023148148	dzː
0.0023148148	ɛ̰
0.0023148148	u̥
0.0023148148	i̥
0.0023148148	ɘː
0.0023148148	l̻
0.0023148148	ɳɖ
0.0023148148	tx
0.0023148148	t̪θʼ
0.0023148148	t̪θ
0.0023148148	kx
0.0023148148	h̃
0.0023148148	t͉
0.0023148148	p͉
0.0023148148	k͉
0.0023148148	ʰt
0.0023148148	ʰk
0.0023148148	ɳɖʐ
0.0023148148	ʕː
