id	rule	source	target	weight	test
93	d -> l / _ #	d #	l #	1	a d j aː d / a d j aː l
94	d -> n / _ V[+nasal]	d V[+nasal]	n @2	2	d j u d ẽ l / d j u n ẽ l
95	d -> ɾ / V _ V	V d V	@3 ɾ @3	3	d j u d ẽ l / d j u ɾ ẽ l
96	d -> ɾ / V _ V|#	V d V|#	@1 ɾ @3	1	a d j aː d / a d j aː ɾ
97	d -> ɾ / _ #	d #	ɾ #	1	a d j aː d / a d j aː ɾ
98	d -> ɾ / _ ŋ	d ŋ	ɾ ŋ	1	d w a j d ŋ e d / d w a j ɾ ŋ e d
99	d -> r s / V _ V	V d V	@1 r s @3	1	d j u d ẽ l / d j u r s ẽ l
100	d -> s / # _ i|j	# d i|j	# s @3	1	d i a z e i l e n / s i a z e i l e n
101	d -> t / # _	# d	# t	5	d i a z e i l e n / t i a z e i l e n
102	d -> t / _ #	d #	t #	5	a d j aː d / a d j aː t
103	d -> t / _ l|r|ɾ	d l|r|ɾ	t @2	1	d r e d s i n d / t r e d s i n d
104	d -> t / n _ #	n d #	n t #	1	d r e d s i n d / d r e d s i n t
105	d -> t / #|N _	#|N d	@1 t	1	d i a z e i l e n / t i a z e i l e n
106	d -> :null: / C _	C d	@1	1	d r e d s i n d / d r e d s i n
107	d -> :null: / V _ V	V d V	@1 @3	2	d j u d ẽ l / d j u ẽ l
108	d -> :null: / V _ s	V d s	@1 s	1	d r e d s i n d / d r e s i n d
109	d -> :null: / V _ i|j	V d i|j	@1 @3	1	a d j aː d / a j aː d
110	d -> :null: / V[+long] _ #	V[+long] d #	@1 #	1	a d j aː d / a d j aː
111	d -> :null: / _ #	d #	#	3	a d j aː d / a d j aː
112	d -> :null: / _ N	d N	@2	1	d n i c t r i a / n i c t r i a
113	d -> :null: / _ j	d j	j	1	a d j aː d / a j aː d
114	d -> :null: / _ n	d n	n	1	d n i c t r i a / n i c t r i a
115	d -> :null: / _ r|ɾ	d r|ɾ	@2	1	d r e d s i n d / r e d s i n d
116	d+z|dz -> z	(d z|dz)	z	1	e d z j a dʒ i / e z j a dʒ i
117	d -> :null: / _ l|r	d l|r	@2	2	d r e d s i n d / r e d s i n d
118	dʒ -> dʱ	dʒ	dʱ	1	e d z j a dʒ i / e d z j a dʱ i
119	d -> :null: / l _ #	l d #	l #	1	dz i ẽ l d / dz i ẽ l
120	d -> :null: / n _	n d	n	1	d r e d s i n d / d r e d s i n
121	d -> :null: / n _ #	n d #	n #	1	d r e d s i n d / d r e d s i n
122	d -> ð / V _ V	V d V	@1 ð @3	1	d j u d ẽ l / d j u ð ẽ l
123	d -> ɾ / V _ V	V d V	@1 ɾ @3	1	d j u d ẽ l / d j u ɾ ẽ l
124	d -> ʔ / _ #	d #	ʔ #	1	a d j aː d / a d j aː ʔ
125	dz -> d / _ i	dz i	d i	1	dz i ẽ l d / d i ẽ l d
126	d -> tʃ / _ i|u	d i|u	tʃ @2	1	d i a z e i l e n / tʃ i a z e i l e n
127	d i -> dz / _ V	d i V	dz @3	1	d i a z e i l e n / dz a z e i l e n
128	d j -> z / V _ V	V d j V	@1 z @4	1	a d j aː d / a z aː d
129	e -> a / _ #	e #	a #	1	a i a tʃ i h e / a i a tʃ i h a
130	e -> a / _ i	e i	a i	1	d i a z e i l e n / d i a z a i l e n
131	e -> a / _ n	e n	a n	1	d i a z e i l e n / d i a z e i l a n
132	e -> a / _ s	e s	a s	1	e s p e ʔ / a s p e ʔ
133	e -> a / _ r|l	e r|l	a @2	1	a k e l e j a p a / a k a l e j a p a
134	e ʔ -> a	e ʔ	a	1	e s p e ʔ / e s p a
135	a -> e / V|C _ r	V|C e r	@1 a r	1	i k ʔ a r j a / i k ʔ e r j a
136	ɣ|j -> i / e _	e ɣ|j	e i	1	a k e l e j a p a / a k e l e i a p a
137	e -> i / # N _ C	# N e C	# @2 i @4	1	m e k e r / m i k e r
138	e -> i / # _	# e	# i	2	e a s e / i a s e
139	e -> i / # b _	# b e	# b i	1	b e ŋ j e k e y / b i ŋ j e k e y
140	e -> i / C _ V	C e V	@1 i @3	1	b e ŋ j e k e y / b e ŋ j e k i y
141	e -> i / _ #	e #	i #	4	a i a tʃ i h e / a i a tʃ i h i
142	e -> i / _ C+i|i	e (C i)|i	i @2	3	a k e l e j a p a / a k i l e j a p a
143	e -> i / _ g	e g	i g	1	g e g s i s k / g i g s i s k
144	e -> i / _ k|m	e k|m	i @2	1	b e ŋ j e k e y / b e ŋ j i k e y
145	e -> i / _ m|ŋ	e m|ŋ	i @2	1	b e ŋ j e k e y / b i ŋ j e k e y
146	e -> i / _ n+k|ŋ	e (n k)|ŋ	i @2	1	b e ŋ j e k e y / b i ŋ j e k e y
147	e -> i / _ s|#	e s|#	i @2	1	a i a tʃ i h e / a i a tʃ i h i
148	e -> i / _ s|t #	e s|t #	i @2 #	1	p e r e ʔ e t / p e r e ʔ i t
149	e -> i / _ K	e K	i @2	1	b e ŋ j e k e y / b i ŋ j i k e y
150	e -> i / j _	j e	j i	2	b e ŋ j e k e y / b e ŋ j i k e y
151	e -> i / k _ y	k e y	k i y	1	b e ŋ j e k e y / b e ŋ j e k i y
152	e -> i / l _	l e	l i	1	a k e l e j a p a / a k e l i j a p a
153	e -> i / p _ r	p e r	p i r	1	p e r e ʔ e t / p i r e ʔ e t
154	e -> i / r _ ʔ	r e ʔ	r i ʔ	1	p e r e ʔ e t / p e r i ʔ e t
155	e -> i / #|k _	#|k e	@1 i	1	a k e l e j a p a / a k i l e j a p a
156	e -> j / # _ V	# e V	# j @3	1	e a s e / j a s e
157	e -> j / # _ a	# e a	# j a	1	e a s e / j a s e
158	e -> j / a|o|u _	a|o|u e	@1 j	1	o e w e ŋ / o j w e ŋ
159	e -> o / K _	K e	@1 o	1	a k e l e j a p a / a k o l e j a p a
160	e -> o / _ w	e w	o w	1	o e w e ŋ / o o w e ŋ
161	e -> o / _ w V	e w V	o w @3	1	o e w e ŋ / o o w e ŋ
162	e -> o / w _	w e	w o	1	o e w e ŋ / o e w o ŋ
163	e -> o / w _ ŋ	w e ŋ	w o ŋ	1	o e w e ŋ / o e w o ŋ
164	e -> :null: / i|e _ #	i|e e #	@1 #	1	e v e m i e / e v e m i
165	e -> :null: / l|n|r|s|k _ #	l|n|r|s|k e #	@1 #	1	e a s e / e a s
166	e -> æ / _ P	e P	æ @2	3	e v e m i e / e v æ m i e
167	e -> ɛ / _ v	e v	ɛ v	1	e v e m i e / ɛ v e m i e
168	e -> ɨ / _ #	e #	ɨ #	1	a i a tʃ i h e / a i a tʃ i h ɨ
169	e -> ɨ / k|j _	k|j e	@1 ɨ	1	a k e l e j a p a / a k ɨ l e j a p a
170	e N -> y / _ #	e N #	y #	1	d i a z e i l e n / d i a z e i l y
171	e N -> ĩ	e N	ı̃	1	b e ŋ j e k e y / b ĩ j e k e y
172	i|ɪ -> :null: / # e _	# e i|ɪ	# e	1	e ɪ l eː k / e l eː k
173	eː -> e i / j _	j eː	j e i	1	j eː a f n o / j e i a f n o
174	eː -> iː / _ C	eː C	iː @2	1	e ɪ l eː k / e ɪ l iː k
175	eː -> i / _ V	eː V	i @2	2	j eː a f n o / j i a f n o
176	f -> m / _ n	f n	m n	2	j eː a f n o / j eː a m n o
177	f -> p / # _	# f	# p	7	f t a j f / p t a j f
178	f -> p / _ t	f t	p t	1	f t a j f / p t a j f
179	f -> v / # _	# f	# v	1	f t a j f / v t a j f
180	f -> v / V _ V	V f V	@1 v @3	3	a m u f a u / a m u v a u
181	f -> v / _ p|t|k	f p|t|k	v @2	1	f t a j f / v t a j f
