id	rule	source	target	weight	test
635	z -> h / V _ a	V z a	@1 h a	1	a z a x k y r / a h a x k y r
636	z -> j / #|V _ V	#|V z V	@1 j @3	1	a z a x k y r / a j a x k y r
637	z -> r / V _ V	V z V	@1 r @3	1	a z a x k y r / a r a x k y r
638	z -> s / # _	# z	# s	1	z u j z l o / s u j z l o
639	z -> :null: / V _ V	V z V	@1 @3	1	a z a x k y r / a a x k y r
640	z -> :null: / _ C[+voiced] 	z C[+voiced]	@2	1	e d z j a dʒ i / e d j a dʒ i
641	s -> z / _ C[+voiced]	s C[+voiced]	z @2	4	a h s r i r / a h z r i r
642	z -> :null: / _ l|r	z l|r	@2	1	z u j z l o / z u j l o
643	j z -> dʒ / V _	V j z	@1 dʒ	1	z u j z l o / z u dʒ l o
644	j z -> ts / V _	V j z	@1 ts	2	z u j z l o / z u ts l o
645	y -> ts / r _ 	r y	r ts	1	s v a n k r y / s v a n k r ts
646	d|ɣ -> @1[+voiceless] / _ #	d|ɣ #	@1[+voiceless] #	1	a d j aː d / a d j aː t
647	k|g -> @1[+alveolar] / n|r _ r	n|r k|g r	@1 @2[+alveolar] r	1	s v a n k r y / s v a n t r y
648	k|g -> @1[+palatal] / _ E	k|g E	@1[+palatal] @2	1	a k a n k m i k s / a c a n k m i k s
649	k|g -> @1[+palatal] / _ j|E	k|g j|E	@1[+palatal] @2	1	a k a n k m i k s / a c a n k m i k s
650	k|g -> @1[+post-alveolar] / _ j|E	k|g j|E	@1[+post-alveolar] @2	3	a k a n k m i k s / a t̠ a n k m i k s
651	k|g -> @1[+post-alveolar] / _ a	k|g a	@1[+post-alveolar] a	1	a k a n k m i k s / a t̠ a n k m i k s
652	k|g -> @1[+post-alveolar] / _ i	k|g i	@1[+post-alveolar] i	2	k i k t a k s u / t̠ i k t a k s u
653	k|x -> @1[+palatal] / _ j|E	k|x j|E	@1[+palatal] @2	1	a k a n k m i k s / a c a n k m i k s
654	k|ts -> @1[+voiced] / n _	n k|ts	n @2[+voiced]	1	a k a n k m i k s / a k a n g m i k s
655	m|p -> @1[+velar] / _ w	m|p w	@1[+velar] w	2	p r i p w u p / p r i k w u p
656	n|l -> @1[+palatal] / _ C	n|l C	@1[+palatal] @2	1	a k a n k m i k s / a k a ɲ k m i k s
657	p|k -> @1[+voiced] / V _ V	V p|k V	@1 @2[+voiced] @3	4	a k a n k m i k s / a g a n k m i k s
658	p|t|k -> @1[+voiced] / N _	N p|t|k	@1 @2[+voiced]	6	a k a n k m i k s / a k a n g m i k s
659	p|t|k -> @1[+voiced] / V _ r	V p|t|k r	@1 @2[+voiced] r	1	s k i t r a t n i / s k i d r a t n i
660	p|t -> @1[+voiced] / V _ V	V p|t V	@1 @2[+voiced] @3	1	a k e l e j a p a / a k e l e j a b a
661	v|g|ɟ -> @1[+voiceless] / V _ V	V v|g|ɟ V	@1 @2[+voiceless] @3	1	b a w o g aː j / b a w o k aː j
662	v|ɟ -> @1[+voiceless] / # _	# v|ɟ	# @2[+voiceless]	1	v i h r w a / f i h r w a
663	v|ʁ -> @1[+stop] / s _	s v|ʁ	s @2[+stop]	4	s v a n k r y / s b̪ a n k r y
664	ɣ|ʁ -> @1[+stop] / # _	# ɣ|ʁ	# @2[+stop]	1	ɣ j a ɣ r ɪ r / g j a ɣ r ɪ r
665	ɣ|ʁ -> @1[+stop] / _ #	ɣ|ʁ #	@1[+stop] #	4	œ r t ɔ ɤ ɣ / œ r t ɔ ɤ g
666	ɣ|ʁ -> @1[+voiceless] / _ #	ɣ|ʁ #	@1[+voiceless] #	1	œ r t ɔ ɤ ɣ / œ r t ɔ ɤ x
667	β|ð|ɣ -> @1[+stop] / # _	# β|ð|ɣ	# @2[+stop]	1	ð ẽ n ã n / d̪ ẽ n ã n
668	β|ɣ -> @1[+stop] / r _	r β|ɣ	r @2[+stop]	1	æ r β æ ɹ i ç m a / æ r b æ ɹ i ç m a
669	ã -> a / C w _	C w ã	@1 w a	2	ɣ w ã ʁ / ɣ w a ʁ
670	æ -> e / _ ð|r	æ ð|r	e @2	1	æ r β æ ɹ i ç m a / e r β æ ɹ i ç m a
671	æ -> ɛ / _ ɹ	æ ɹ	ɛ ɹ	1	æ r β æ ɹ i ç m a / æ r β ɛ ɹ i ç m a
672	ç -> z g / _ r	ç r	z g r	1	ŋ u ç r / ŋ u z g r
673	ç -> ʂ / _ m	ç m	ʂ m	1	æ r β æ ɹ i ç m a / æ r β æ ɹ i ʂ m a
674	ç -> ʃ / _ N	ç N	ʃ @2	1	æ r β æ ɹ i ç m a / æ r β æ ɹ i ʃ m a
675	ŋ -> g / # _ u	# ŋ u	# g u	1	ŋ u ç r / g u ç r
676	ŋ -> k / # _ V[+nasal]	# ŋ V[+nasal]	# k @3	1	ŋ ã ŋ i ɾ / k ã ŋ i ɾ
677	ŋ -> m / # _ æ|y	# ŋ æ|y	# m @3	1	ŋ æ t u θ u j / m æ t u θ u j
678	ŋ -> n / # _ a|o|e	# ŋ a|o|e	# n @3	1	ŋ a ŋ t œ m / n a ŋ t œ m
679	ŋ -> n / V _ V	V ŋ V	@1 n @3	1	m i ŋ a l s / m i n a l s
680	ŋ -> n / _ i	ŋ i	n i	3	ŋ ã ŋ i ɾ / ŋ ã n i ɾ
681	ŋ -> n / _ t	ŋ t	n t	1	ŋ a ŋ t œ m / ŋ a n t œ m
682	ŋ -> w / C _ V	C ŋ V	@1 w @3	1	d w a j d ŋ e d / d w a j d w e d
683	ŋ -> w / V _ C	V ŋ C	@1 w @3	1	a g r o ŋ g / a g r o w g
684	ŋ -> ŋ̊ / _ #	ŋ #	ŋ̊ #	1	l a m b r i ŋ / l a m b r i ŋ̊
685	ŋ -> ɲ / _ i|e	ŋ i|e	ɲ @2	1	d w a j d ŋ e d / d w a j d ɲ e d
686	ŋ -> ɳ / o|a _	o|a ŋ	@1 ɳ	1	a g r o ŋ g / a g r o ɳ g
687	œ -> iː / _ N	œ N	iː @2	1	ŋ a ŋ t œ m / ŋ a ŋ t iː m
688	œ -> ɛː / _ C C	œ C C	ɛː @2 @3	1	œ r t ɔ ɤ ɣ / ɛː r t ɔ ɤ ɣ
689	ɒ -> ɔ / _ C C	ɒ C C	ɔ @2 @3	1	œ m ɒ s t r ɔ n k / œ m ɔ s t r ɔ n k
690	ɒ -> ɛ / _ C	ɒ C	ɛ @2	1	œ m ɒ s t r ɔ n k / œ m ɛ s t r ɔ n k
691	ɔ -> o / _ N C	ɔ N C	o @2 @3	1	œ m ɒ s t r ɔ n k / œ m ɒ s t r o n k
692	ɔ -> u / _ V	ɔ V	u @2	1	œ r t ɔ ɤ ɣ / œ r t u ɤ ɣ
693	ɔ k -> ɤ ɣ / _ #	ɔ k #	ɤ ɣ #	1	a ə ɔ̃ l ɔ k / a ə ɔ̃ l ɤ ɣ
694	ɤ ɣ -> ɔ k / _ #	ɤ ɣ #	ɔ k #	1	œ r t ɔ ɤ ɣ / œ r t ɔ ɔ k
695	ã -> a / _ l|lˠ	ã l|lˠ	a @2	1	ə ã l ɔ k / ə a l ɔ k
696	ə -> a / V _ V	V ə V	@1 a @3	1	a ə ɔ̃ l ɔ k / a a ɔ̃ l ɔ k
697	a -> ə / V _ V	V a V	@1 ə @3	1	o a ə s / o ə ə s
698	ə -> a / _ #	ə #	a #	3	ɛ n ə i ə / ɛ n ə i a
699	ə -> a / _ C #	ə C #	a @2 #	1	o a ə s / o a a s
700	ə -> a / _ i|u	ə i|u	a @2	1	ɛ n ə i ə / ɛ n a i ə
701	ə -> a / _ u|i|ɨ	ə u|i|ɨ	a @2	1	ɛ n ə i ə / ɛ n a i ə
702	ə -> j / a _	a ə	a j	4	a ə ɔ̃ l ɔ k / a j ɔ̃ l ɔ k
703	ɛ -> i / n _ #	n ɛ #	n i #	1	t a n ɛ / t a n i
704	ɛ -> ĩ / N _ #	N ɛ #	@1 ı̃ #	1	ʕ o n ɛ / ʕ o n ĩ
705	ɛ -> ɛ a / _ l C|#	ɛ l C|#	ɛ a l @3	1	ɛ̃ l ɛ l k / ɛ̃ l ɛ a l k
706	ɛ -> ɪ / _ N 	ɛ N	ɪ @2	1	ɛ n ə i ə / ɪ n ə i ə
707	ɛ̃ -> ɛ / _ #|l|lˠ	ɛ̃ #|l|lˠ	ɛ @2	1	ɛ̃ l ɛ l k / ɛ l ɛ l k
708	ɟ -> j / V _ V	V ɟ V	@1 j @3	1	m ɣ a ɟ a ɾ v / m ɣ a j a ɾ v
709	ɣ -> g / # _	# ɣ	# g	4	ɣ j a ɣ r ɪ r / g j a ɣ r ɪ r
710	ɣ -> g / C _ V	C ɣ V	@1 g @3	1	m ɣ a ɟ a ɾ v / m g a ɟ a ɾ v
711	ɣ -> g / _ E|j	ɣ E|j	g @2	1	m ɣ a ɟ a ɾ v / m g a ɟ a ɾ v
712	ɣ -> g / _ r|ʀ|θ|ð	ɣ r|ʀ|θ|ð	g @2	1	ɣ j a ɣ r ɪ r / ɣ j a g r ɪ r
713	ɣ -> gː / _ j	ɣ j	gː j	1	ɣ j a ɣ r ɪ r / gː j a ɣ r ɪ r
714	ɣ -> w / a|u|i|o _	a|u|i|o ɣ	@1 w	1	u o b o ɾ o ɣ oː / u o b o ɾ o w oː
715	ɣ -> ə / _ #	ɣ #	ə #	1	œ r t ɔ ɤ ɣ / œ r t ɔ ɤ ə
716	ɨ -> ə / P _	P ɨ	@1 ə	1	b ɨ i ɲ i ʀ / b ə i ɲ i ʀ
717	ɨ -> ə / _ i	ɨ i	ə i	1	b ɨ i ɲ i ʀ / b ə i ɲ i ʀ
718	ɪ -> ɜ / _ K|r	ɪ K|r	ɜ @2	1	ɣ j a ɣ r ɪ r / ɣ j a ɣ r ɜ r
719	ɲ -> n / _ i	ɲ i	n i	1	b ɨ i ɲ i ʀ / b ɨ i n i ʀ
720	ɾ -> l / _ #	ɾ #	l #	1	ŋ ã ŋ i ɾ / ŋ ã ŋ i l
721	ɾ -> r / _ C	ɾ C	r @2	1	m ɣ a ɟ a ɾ v / m ɣ a ɟ a r v
722	ʀ -> h / _ #	ʀ #	h #	1	b ɨ i ɲ i ʀ / b ɨ i ɲ i h
723	ʁ -> j / _ i	ʁ i	j i	1	i ʎ a ʁ i ʃ o ʃ / i ʎ a j i ʃ o ʃ
724	ʃ -> x / B _ #	B ʃ #	@1 x #	1	i ʎ a ʁ i ʃ o ʃ / i ʎ a ʁ i ʃ o x
725	ʃ -> x / _ B	ʃ B	x @2	1	i ʎ a ʁ i ʃ o ʃ / i ʎ a ʁ i x o ʃ
726	ʈ -> l / V _ V	V ʈ V	@1 l @3	1	ʒ e ʈ e ʃ / ʒ e l e ʃ
727	ʈ -> tʃ / _ e	ʈ e	tʃ e	1	ʒ e ʈ e ʃ / ʒ e tʃ e ʃ
728	ʈ -> tʃ / e _	e ʈ	e tʃ	1	ʒ e ʈ e ʃ / ʒ e tʃ e ʃ
729	ʎ -> l / i _	i ʎ	i l	1	i ʎ a ʁ i ʃ o ʃ / i l a ʁ i ʃ o ʃ
730	ʎ -> ʒ / _ a|u	ʎ a|u	ʒ @2	2	i ʎ a ʁ i ʃ o ʃ / i ʒ a ʁ i ʃ o ʃ
731	ʒ -> ʃ / # _	# ʒ	# ʃ	1	ʒ e ʈ e ʃ / ʃ e ʈ e ʃ
732	ʔ -> h / _ C	ʔ C	h @2	1	ts ẽ ʔ j a v i dʒ u / ts ẽ h j a v i dʒ u
733	ʔ -> h / _ l	ʔ l	h l	2	ʔ l i dʒ i dʒ / h l i dʒ i dʒ
734	ʔ -> :null: / # _	# ʔ	#	3	ʔ l i dʒ i dʒ / l i dʒ i dʒ
735	ʔ -> :null: / C _	C ʔ	@1	4	a t k a t ʔ i / a t k a t i
736	ʔ -> :null: / V _	V ʔ	@1	1	e s p e ʔ / e s p e
737	ʔ -> :null: / V _ V	V ʔ V	@1 @3	1	i u l o x i ʔ i / i u l o x i i
738	ʔ -> :null: / _ #	ʔ #	#	2	e s p e ʔ / e s p e
739	ʔ -> :null: / _ C	ʔ C	@2	7	ts ẽ ʔ j a v i dʒ u / ts ẽ j a v i dʒ u
740	ʔ -> :null: / _ C C	ʔ C C	@2 @3	5	ts i ʔ p ɾ u dʒ a / ts i p ɾ u dʒ a
741	ʔ -> :null: / _ j	ʔ j	j	1	ts ẽ ʔ j a v i dʒ u / ts ẽ j a v i dʒ u
742	dz -> d / # _	# dz	# d	1	dz i ẽ l d / d i ẽ l d
743	dʒ -> d / i _ i	i dʒ i	i d i	2	ʔ l i dʒ i dʒ / ʔ l i d i dʒ
744	dʒ -> ð / i _	i dʒ	i ð	1	ts ẽ ʔ j a v i dʒ u / ts ẽ ʔ j a v i ð u
745	dʒ -> ð / u _ a	u dʒ a	u ð a	1	ts i ʔ p ɾ u dʒ a / ts i ʔ p ɾ u ð a
746	dʒ -> ʁ / i _ u	i dʒ u	i ʁ u	2	ts ẽ ʔ j a v i dʒ u / ts ẽ ʔ j a v i ʁ u
747	dʒ -> tʃ / _ #	dʒ #	tʃ #	6	ʔ l i dʒ i dʒ / ʔ l i dʒ i tʃ
748	dʒ -> tʃ / i _ i|u	i dʒ u|i	i tʃ @3	1	ts ẽ ʔ j a v i dʒ u / ts ẽ ʔ j a v i tʃ u
749	ts -> s / # _	# ts	# s	1	ts ẽ ʔ j a v i dʒ u / s ẽ ʔ j a v i dʒ u
750	ts -> s / _ r|h+r	ts r|(h r)	s @2	1	a tʃ i ts r a ts / a tʃ i s a ts
751	ts -> s / _ i	ts i	s i	1	j u t j a ts i / j u t j a s i
752	ts -> s / _ h|i|j	ts h|i|j	s @2	2	j u t j a ts i / j u t j a s i
753	ts -> s / _ i|j	ts i|j	s @2	2	j u t j a ts i / j u t j a s i
754	ts -> :null: / h _	h ts	h	1	r a h ts i v m l e / r a h i v m l e
755	ts -> sː / V _ V	V ts V	@1 sː @3	1	j u t j a ts i / j u t j a sː i
756	ts -> t / _ r|h+r	ts r|(h r)	t @2	1	a tʃ i ts r a ts / a tʃ i t a ts
757	ts -> z / V _ V	V ts V	@1 z @3	1	j u t j a ts i / j u t j a z i
758	ts -> ʃ / # _ ẽ	# ts ẽ	# ʃ ẽ	1	ts ẽ ʔ j a v i dʒ u / ʃ ẽ ʔ j a v i dʒ u
759	ts -> ʃ / V _	V ts	@1 ʃ	1	a tʃ i ts r a ts / a tʃ i ʃ r a ʃ
760	ts -> ʃ / _ i	ts i	ʃ i	1	j u t j a ts i / j u t j a ʃ i
761	ts -> ʃ / _ r	ts r	ʃ r	1	a tʃ i ts r a ts / a tʃ i ʃ r a ts
762	ts -> tʃ / _ #	ts #	tʃ #	1	a tʃ i ts r a ts / a tʃ i ts r a tʃ
763	ts -> tʃ / _ i	ts i	tʃ i	1	j u t j a ts i / j u t j a tʃ i
764	ts -> tʃ / _ h|i|j	ts h|i|j	tʃ @2	1	j u t j a ts i / j u t j a tʃ i
765	ts -> s / _ C	ts C	s @2	1	a tʃ i ts r a ts / a tʃ i s r a ts
766	tʃ -> i / C _	C tʃ	@1 i	1	β l i r tʃ ẽ / β l i r i ẽ
767	tʃ -> i / _ C	tʃ C	i @2	1	ɤ tʃ q æ / ɤ i q æ
768	tʃ -> s / # _	# tʃ	# s	1	tʃ a w ʃ e / s a w ʃ e
769	tʃ -> s / _ C	tʃ C	s @2	1	ɤ tʃ q æ / ɤ s q æ
770	tʃ -> s / _ i	tʃ i	s i	1	a i a tʃ i h e / a i a s i h e
771	tʃ -> s / _ q	tʃ q	s q	1	ɤ tʃ q æ / ɤ s q æ
772	tʃ -> t / # _	# tʃ	# t	2	tʃ a w ʃ e / t a w ʃ e
773	tʃ -> ʃ / _ C	tʃ C	ʃ @2	1	ɤ tʃ q æ / ɤ ʃ q æ
774	tʃ -> ʃ / _ w|i	tʃ w|i	ʃ @2	1	a i a tʃ i h e / a i a ʃ i h e
775	tʃ -> dʒ / # _ i	# tʃ i	# dʒ i	1	tʃ i β a θ l / dʒ i β a θ l
776	tʃ -> ts / _ E	tʃ E	ts @2	1	a i a tʃ i h e / a i a ts i h e
777	tʃ -> ts / _ q	tʃ q	ts q	1	ɤ tʃ q æ / ɤ ts q æ
778	tʃ -> ts / a _	a tʃ	a ts	1	a i a tʃ i h e / a i a ts i h e
779	β -> b / V _ V	V β V	@1 b @3	1	tʃ i β a θ l / tʃ i b a θ l
780	β -> b / _ l	β l	b l	1	β l i r tʃ i h ẽ / b l i r tʃ i h ẽ
781	β -> b / r|l _	r|l β	@1 b	1	æ r β æ ɹ i ç m a / æ r b æ ɹ i ç m a
782	β -> u / _ k	β k	u k	1	θ u β k i / θ u u k i
783	β -> u / _ l	β l	u l	1	β l i r tʃ i h ẽ / u l i r tʃ i h ẽ
784	β -> w / V _ C	V β C	@1 w @3	1	θ u β k i / θ u w k i
785	θ -> f / _ l	θ l	f l	1	tʃ i β a θ l / tʃ i β a f l
786	θ -> h / # _ B	# θ B	# h @3	1	θ u β k i / h u β k i
787	θ -> h / _ i|ɪ	θ i|ɪ	h @2	1	s θ i s l a / s h i s l a
788	θ -> n / # _	# θ	# n	2	θ u β k i / n u β k i
789	θ -> s / _ B	θ B	s @2	1	a k θ u n / a k s u n
790	θ -> s / _ k	θ k	s k	6	p i θ k i n χ a / p i s k i n χ a
791	θ -> :null: / p|t|k _	p|t|k θ	@1	1	a k θ u n / a k u n
792	θ -> ð / V _ V	V θ V	@1 ð @3	1	tʲ a θ u k / tʲ a ð u k
793	θ -> ʃ / C _	C θ	@1 ʃ	1	a k θ u n / a k ʃ u n
794	χ -> k / # _	# χ	# k	1	χ ẽ ʔ / k ẽ ʔ
795	χ -> q / n _	n χ	n q	1	p i θ k i n χ a / p i θ k i n q a
796	χ -> qʰ / # _	# χ	# qʰ	2	χ ẽ ʔ / qʰ ẽ ʔ
797	ẽ -> i / h _	h ẽ	h i	1	β l i r tʃ i h ẽ / β l i r tʃ i h i
798	ẽ -> ĩ / _ ʔ #	ẽ ʔ #	ĩ ʔ #	1	χ ẽ ʔ / χ ĩ ʔ
799	ẽ -> ĩ / t|h _ #	t|h ẽ #	@1 ĩ #	1	β l i r tʃ i h ẽ / β l i r tʃ i h ĩ
